Minimo, Maximo, Latitude, Longitude, Media
07746, 08472, 05949, 01049, 08333
08028, 09167, 06580, 01237, 08636
06197, 06667, 06630, 01178, 06818
08451, 08750, 06675, 01138, 08636
07324, 07778, 06668, 01089, 07879
03803, 08889, 06657, 01037, 07273
06056, 07361, 06691, 01217, 07121
03662, 05417, 06694, 01190, 04242
07042, 07778, 09990, 01155, 07273
09155, 09167, 06732, 01220, 09545
04789, 07778, 06614, 09186, 06667
01831, 05556, 06620, 01009, 03939
06479, 09306, 06724, 01209, 08333
05493, 07083, 06726, 01174, 06515
07746, 09028, 06458, 09998, 08090
08451, 08889, 09666, 01224, 08788
08028, 09028, 09988, 09996, 08788
07887, 08611, 06420, 01043, 08182
09718, 09722, 07510, 00910, 09848
04507, 07639, 07526, 01136, 06818
04225, 07083, 07626, 01089, 06667
07465, 07500, 07365, 01562, 08030
09014, 07917, 07392, 01500, 08485
08873, 08611, 07475, 09999, 08636
08310, 07500, 07525, 01362, 08182
08310, 07361, 07542, 09208, 08182
08028, 08333, 07559, 01170, 08485
05915, 08194, 09999, 01110, 06212
06338, 08472, 07558, 01084, 08182
07606, 07778, 07679, 00983, 07424
02254, 07500, 07501, 00915, 02879
08873, 07778, 07588, 00944, 08636
08592, 07639, 10000, 01171, 08182
09014, 08889, 07638, 00948, 09242
05634, 07500, 07871, 00877, 06970
07887, 08611, 07807, 00886, 08182
04648, 07500, 07553, 00779, 07576
07465, 07500, 07420, 01576, 07879
02394, 07222, 07504, 01477, 02879
02113, 07083, 09999, 09221, 02273
06056, 08056, 09785, 10000, 07879
07324, 07639, 07751, 09999, 07727
07183, 09306, 07799, 01243, 09242
05775, 07361, 07644, 01459, 06364
07887, 08750, 07519, 00490, 08636
06479, 07361, 07569, 00670, 07273
08028, 09722, 07901, 00840, 09545
09296, 08472, 07903, 01433, 08788
08592, 09444, 07907, 01425, 08788
09296, 09583, 09818, 01409, 10000
07183, 09028, 08061, 01226, 08030
09437, 09583, 08082, 01195, 09697
06479, 08333, 08000, 09182, 08182
08873, 09167, 07976, 01002, 09091
08451, 08750, 07932, 00953, 09394
08169, 08889, 07903, 00918, 09091
09155, 09028, 07894, 00900, 09242
05493, 07639, 07972, 01039, 06667
08028, 07361, 07015, 01233, 07879
06761, 07639, 06960, 01140, 07273
04366, 07222, 06971, 01056, 05909
10000, 08472, 07043, 01243, 09545
08310, 07917, 07058, 01179, 08485
08169, 07639, 07056, 01156, 08030
07887, 07361, 07058, 01243, 07576
04648, 06944, 07090, 09202, 07273
04930, 05417, 07096, 01227, 05606
09577, 08194, 07069, 09202, 08939
09296, 08889, 07084, 01188, 09242
07465, 07500, 06942, 01143, 07576
07042, 07639, 07198, 01324, 07727
07324, 08056, 07214, 01315, 08485
06197, 08333, 07277, 01506, 08788
07887, 07500, 07277, 01490, 08030
06479, 07361, 07333, 01457, 07727
05634, 07083, 07201, 01313, 07273
06479, 07917, 07206, 09208, 07727
07465, 07639, 07225, 01297, 07727
03521, 05694, 07240, 01282, 05455
03099, 05139, 07170, 01352, 03939
07606, 08472, 07236, 01498, 09091
08310, 08333, 09745, 01498, 09091
06479, 08194, 07264, 01471, 08030
03380, 05000, 07193, 01316, 03333
09296, 08750, 07194, 01469, 08939
06338, 07361, 07237, 01448, 07121
05211, 05139, 09744, 01406, 05455
03099, 05278, 07231, 01339, 04697
04648, 06667, 07248, 01299, 06667
03662, 05972, 07170, 01363, 04697
02394, 03750, 07147, 01398, 02879
05211, 09028, 07186, 01389, 08636
04085, 05833, 07162, 01374, 03788
02958, 04722, 07128, 01412, 03030
02676, 08611, 07133, 01407, 05303
04930, 07917, 07160, 01398, 07879
06197, 07500, 07186, 01374, 07424
05775, 07083, 07189, 01356, 07273
03239, 04722, 09733, 01392, 03485
08028, 08611, 09740, 01448, 08939
05634, 08194, 07204, 01412, 06667
06338, 08194, 07207, 01406, 07576
04225, 07083, 07215, 01379, 06212
02394, 07917, 07204, 01363, 05303
02958, 06389, 07220, 01326, 05000
04225, 07639, 07237, 01306, 06364
01549, 08333, 07127, 01406, 02273
03521, 07917, 07135, 01392, 06364
06197, 09167, 07210, 01487, 08939
08592, 09028, 07223, 01489, 09091
06620, 07917, 07308, 01536, 08485
07042, 08333, 07338, 01467, 07879
05070, 06528, 07371, 01400, 06061
05634, 06944, 07168, 01391, 06515
04507, 06250, 07165, 01443, 06061
08451, 09167, 07154, 01440, 09242
01408, 00000, 09737, 09217, 00000
06901, 07500, 07180, 01414, 07273
05775, 07361, 07109, 01397, 06667
06479, 09583, 07209, 00752, 08636
07183, 08889, 09730, 09155, 07576
05070, 07778, 07172, 00725, 07121
01268, 04861, 07260, 01252, 01515
06056, 07500, 07186, 01259, 06667
07746, 09167, 07190, 09191, 08636
07606, 08750, 07150, 00976, 07727
07465, 09583, 07133, 00726, 08485
06479, 10000, 07096, 00710, 07576
06479, 08333, 07212, 01093, 07576
01549, 04167, 07255, 01258, 02879
05352, 05833, 07258, 01251, 05606
02958, 05694, 07365, 01163, 03333
04507, 07083, 07441, 01073, 06667
05915, 07639, 07410, 00958, 06818
06056, 08750, 06498, 01239, 08333
07042, 07917, 06519, 01183, 07879
06479, 09028, 06516, 09193, 08636
06901, 09028, 06521, 01088, 09091
06197, 08750, 06530, 01055, 08485
07183, 07917, 06585, 00883, 08333
06761, 08472, 06531, 00745, 08788
05070, 06806, 06669, 00828, 06061
06056, 07917, 06588, 00971, 06364
05352, 08056, 07589, 00407, 07727
06056, 08194, 07529, 00318, 08030
04366, 08611, 07280, 00295, 07727
05211, 08750, 07094, 00447, 07121
08028, 07500, 06014, 01073, 08333
07746, 08472, 06141, 01111, 08636
06901, 08056, 06186, 09190, 08030
08592, 08333, 06233, 01061, 08636
08169, 07917, 06083, 01155, 08636
08592, 08194, 06081, 01105, 08485
07606, 08611, 06392, 01188, 08485
06901, 08750, 06363, 01222, 08333
07042, 08056, 06362, 01119, 08636
09296, 08611, 06283, 01129, 09091
08451, 09722, 06260, 01150, 09091
06479, 08611, 09655, 09997, 08939
08451, 08333, 06329, 01119, 09091
09014, 08611, 06812, 00000, 09242
06761, 08750, 06796, 00167, 08333
00000, 06528, 06830, 01101, 06364
00000, 03333, 06807, 01061, 01667
08732, 08611, 06866, 00733, 08788
00000, 06806, 06907, 00535, 06212
01690, 04722, 06902, 01008, 02576
08873, 08194, 06799, 01146, 08939
05352, 07917, 06735, 09154, 07727
07042, 07361, 06801, 01185, 07273
08732, 08333, 06825, 01129, 09091
04648, 07639, 06902, 01007, 06515
06479, 08611, 06901, 00976, 08485
09577, 08611, 06836, 00750, 09545
09577, 08056, 06869, 09992, 09091
08451, 08056, 09994, 00660, 08939
08310, 08194, 06963, 09991, 08333
06479, 08194, 06822, 00649, 07727
07042, 08611, 07167, 00303, 08333
